Designator,Footprint,Quantity,Value,LCSC Part #
A1,PinHeader_1x01_P1.27mm_Vertical,1,A,
B1,PinHeader_1x01_P1.27mm_Vertical,1,B,
C1,PinHeader_1x01_P1.27mm_Vertical,1,C,
